# Number	E	N	U
104 -6.8853881887253010e+01 -2.2026502985896286e+01 6.8034398019970466e-03
105 -5.4246042680960059e+01 -2.1970710220136340e+01 1.4281257245221557e-02
106 -3.9638203474667108e+01 -2.1914917454376393e+01 2.1759074688446067e-02
107 -2.5030364268374157e+01 -2.1859124688616447e+01 2.9236892131670578e-02
108 -1.0422525062081206e+01 -2.1803331922856501e+01 3.6714709574894977e-02
109 1.1505337760554269e+01 -2.5936572293922026e+01 8.7126407633926761e-02
110 2.6113176966847220e+01 -2.5880779528162080e+01 9.4604225077151272e-02
111 4.0721016173140157e+01 -2.5824986762402133e+01 1.0208204252037578e-01
112 5.5328855379433122e+01 -2.5769193996642187e+01 1.0955985996360018e-01
113 6.9936694585726059e+01 -2.5713401230882241e+01 1.1703767740682469e-01
114 8.4544533792019024e+01 -2.5657608465122294e+01 1.2451549485004920e-01
115 9.9152372998311961e+01 -2.5601815699362362e+01 1.3199331229327371e-01
116 -1.6385314876774541e+02 -9.7383674042196020e+00 -1.5938728926154699e-01
117 -1.4924530956145247e+02 -9.6825746384596556e+00 -1.5190947181832248e-01
118 -1.3463747035515951e+02 -9.6267818726997092e+00 -1.4443165437509797e-01
119 -1.2002963114886657e+02 -9.5709891069397628e+00 -1.3695383693187346e-01
120 -1.0542179194257363e+02 -9.5151963411798164e+00 -1.2947601948864895e-01
121 -9.0813952736280683e+01 -9.4594035754198842e+00 -1.2199820204542444e-01
122 -7.6206113529987732e+01 -9.4036108096599378e+00 -1.1452038460219993e-01
123 -6.1598274323694781e+01 -9.3478180438999914e+00 -1.0704256715897542e-01
124 -4.6990435117401837e+01 -9.2920252781400450e+00 -9.9564749715750911e-02
125 -3.2382595911108893e+01 -9.2362325123800986e+00 -9.2086932272526401e-02
126 -1.7774756704815942e+01 -9.1804397466201522e+00 -8.4609114829302001e-02
127 4.1531061178195472e+00 -1.3313680117685678e+01 -3.4197416770270328e-02
128 1.8760945324112498e+01 -1.3257887351925731e+01 -2.6719599327045818e-02
129 3.3368784530405435e+01 -1.3202094586165785e+01 -1.9241781883821307e-02
130 4.7976623736698400e+01 -1.3146301820405839e+01 -1.1763964440596908e-02
131 6.2584462942991337e+01 -1.3090509054645892e+01 -4.2861469973723976e-03
132 7.7192302149284274e+01 -1.3034716288885946e+01 3.1916704458521128e-03
133 9.1800141355577239e+01 -1.2978923523126014e+01 1.0669487889076623e-02
134 1.0640798056187018e+02 -1.2923130757366067e+01 1.8147305332301134e-02
135 -1.7120538041048013e+02 2.8845247720167464e+00 -2.8071111366574408e-01
136 -1.5659754120418719e+02 2.9403175377766928e+00 -2.7323329622251968e-01
137 -1.4198970199789426e+02 2.9961103035366392e+00 -2.6575547877929506e-01
138 -1.2738186279160131e+02 3.0519030692965856e+00 -2.5827766133607066e-01
139 -1.1277402358530836e+02 3.1076958350565320e+00 -2.5079984389284604e-01
140 -9.8166184379015405e+01 3.1634886008164642e+00 -2.4332202644962164e-01
141 -8.3558345172722454e+01 3.2192813665764106e+00 -2.3584420900639702e-01
142 -6.8950505966429517e+01 3.2750741323363570e+00 -2.2836639156317262e-01
143 -5.4342666760136566e+01 3.3308668980963034e+00 -2.2088857411994800e-01
144 -3.9734827553843616e+01 3.3866596638562498e+00 -2.1341075667672360e-01
145 -2.5126988347550679e+01 3.4424524296161962e+00 -2.0593293923349898e-01
146 -3.1991255249151749e+00 -6.9078794144932942e-01 -1.5552124117446720e-01
147 1.1408713681377776e+01 -6.3499517568938302e-01 -1.4804342373124268e-01
148 2.6016552887670713e+01 -5.7920240992943661e-01 -1.4056560628801817e-01
149 4.0624392093963678e+01 -5.2340964416949021e-01 -1.3308778884479378e-01
150 5.5232231300256615e+01 -4.6761687840954380e-01 -1.2560997140156926e-01
151 6.9840070506549552e+01 -4.1182411264959740e-01 -1.1813215395834475e-01
152 8.4447909712842517e+01 -3.5603134688966520e-01 -1.1065433651512024e-01
153 9.9055748919135453e+01 -3.0023858112971880e-01 -1.0317651907189573e-01
154 1.1366358812542839e+02 -2.4444581536977239e-01 -9.5698701628671223e-02
155 -1.7126979646326447e+02 1.9752242850838527e+01 -4.3749100124252371e-01
156 -1.5666195725697153e+02 1.9808035616598474e+01 -4.3001318379929909e-01
157 -1.4205411805067860e+02 1.9863828382358420e+01 -4.2253536635607469e-01
158 -1.2744627884438563e+02 1.9919621148118367e+01 -4.1505754891285007e-01
159 -1.1283843963809268e+02 1.9975413913878313e+01 -4.0757973146962567e-01
160 -9.8230600431799743e+01 2.0031206679638260e+01 -4.0010191402640105e-01
161 -8.3622761225506792e+01 2.0086999445398206e+01 -3.9262409658317665e-01
162 -6.9014922019213842e+01 2.0142792211158152e+01 -3.8514627913995203e-01
163 -5.4407082812920898e+01 2.0198584976918099e+01 -3.7766846169672763e-01
164 -3.9799243606627954e+01 2.0254377742678045e+01 -3.7019064425350301e-01
165 -2.5191404400335003e+01 2.0310170508437992e+01 -3.6271282681027861e-01
166 -1.0551357167649911e+01 1.1932104234787019e+01 -2.7684506557866428e-01
167 4.0564820386430398e+00 1.1987897000546965e+01 -2.6936724813543966e-01
168 1.8664321244935991e+01 1.2043689766306912e+01 -2.6188943069221526e-01
169 3.3272160451228928e+01 1.2099482532066858e+01 -2.5441161324899064e-01
170 4.7879999657521893e+01 1.2155275297826805e+01 -2.4693379580576624e-01
171 6.2487838863814829e+01 1.2211068063586751e+01 -2.3945597836254162e-01
172 7.7095678070107766e+01 1.2266860829346683e+01 -2.3197816091931722e-01
173 9.1703517276400731e+01 1.2322653595106630e+01 -2.2450034347609260e-01
174 1.0631135648269367e+02 1.2378446360866576e+01 -2.1702252603286820e-01
175 1.2091919568898663e+02 1.2434239126626522e+01 -2.0954470858964358e-01
