# Number	E	N	U
90 -1.767811433057725523e+01 -3.448651314191637596e+01 9.988192430140330202e-02
91 -3.070275023134083625e+00 -3.443072597437311799e+01 1.099059624421148129e-01
92 1.885757042560885566e+01 -3.855930953971000008e+01 1.998551352996749131e-01
93 3.346540937408416738e+01 -3.850352219572742740e+01 1.897956198461621113e-01
94 4.807324949139713510e+01 -3.844773600113039436e+01 3.697026803685652396e-01
95 6.268108727060874941e+01 -3.839194799089233356e+01 2.495763184614965269e-01
96 7.728892513141006759e+01 -3.833616040758980148e+01 1.994165356220349850e-01
97 9.189676283487800390e+01 -3.828037294499825549e+01 1.692233308048294305e-01
98 -1.565009350973455753e+02 -2.235968732347204124e+01 1.180426068873661194e-01
99 -1.418930899180267318e+02 -2.230389968516049493e+01 -5.161584686556963675e-02
100 -1.272852489208630118e+02 -2.224811260928501966e+01 -6.130772146200236250e-02
101 -1.126774081834941228e+02 -2.219232553589482393e+01 -7.103301906685643985e-02
102 -9.806956801364606235e+01 -2.213653853265041604e+01 -6.079173833156481521e-02
103 -8.346172788302880008e+01 -2.208075149427545725e+01 -6.058387809908438726e-02
104 -6.885388818198354954e+01 -2.202496452712095021e+01 -4.040944224636255910e-02
105 -5.424604954034698778e+01 -2.196917793957719311e+01 8.973157371544360217e-02
106 -3.963820940067979137e+01 -2.191339073081429234e+01 3.983916569617740322e-02
107 -2.503036982347319039e+01 -2.185760362652995425e+01 1.991333447844745308e-02
108 -1.042253053678502539e+01 -2.180181648769817926e+01 -1.004591640029950383e-02
109 1.150535266176277283e+01 -2.594040536210844294e+01 4.993667464886364371e-02
110 2.611319151013489659e+01 -2.588461834737098854e+01 6.989386839009803509e-02
111 4.072103036135781906e+01 -2.582883141409392991e+01 1.098176387505578333e-01
112 5.532886839904035980e+01 -2.577304411582962729e+01 5.970798806007060477e-02
113 6.993670654007371468e+01 -2.571725702275428205e+01 5.956491641879857468e-02
114 8.454454459623974572e+01 -2.566146996999680496e+01 6.938842072178097453e-02
115 9.915238310275452704e+01 -2.560568307719086079e+01 1.191785039091080023e-01
116 -1.638531505031024267e+02 -9.740781376036421690e+00 -2.109961119336922764e-03
117 -1.492453069307782698e+02 -9.684994367672489446e+00 -1.017517032646528818e-01
118 -1.346374646634373278e+02 -9.629207406561597793e+00 -1.714268680210198070e-01
119 -1.200296240585630017e+02 -9.573420540612323393e+00 -1.811354557187323522e-01
120 -1.054217840441111349e+02 -9.517633703933107370e+00 -1.708774637446284217e-01
121 -9.081394405669696823e+01 -9.461846853690168757e+00 -1.706528948389305356e-01
122 -7.620610452222021536e+01 -9.406060034063644437e+00 -1.504617467039688350e-01
123 -6.159826511194091836e+01 -9.350273213110794401e+00 -1.303040224555456206e-01
124 -4.699042567779055446e+01 -9.294486364206845153e+00 -1.301797195740830304e-01
125 -3.238258645941201763e+01 -9.238699516338840567e+00 -1.300888390851948628e-01
126 -1.777474742812475128e+01 -9.182912654686605336e+00 -1.400313803821515712e-01
127 4.153097153198983982e+00 -1.331149625918514623e+01 -8.001529638444893067e-02
128 1.876093573110298962e+01 -1.325570935183798227e+01 -8.004139335943261102e-02
129 3.336877424940853132e+01 -1.319992250705693593e+01 -5.010091136816807733e-02
130 4.797661253933969050e+01 -1.314413562042426520e+01 -4.019385196360136803e-02
131 6.258445046189422811e+01 -1.308834869329966466e+01 -5.032021378770412667e-02
132 7.719228836418123763e+01 -1.303256180720350521e+01 -4.047999749615183163e-02
133 9.180012638272556558e+01 -1.297677496418577370e+01 -1.067320471551003180e-02
134 1.064079628223183391e+02 -1.292098793823720904e+01 -7.089983216140893774e-02
135 -1.712053983715911158e+02 2.888129570371202437e+00 -3.222960653059634417e-01
136 -1.565975611954912949e+02 2.943916301673099589e+00 -1.819210983390255887e-01
137 -1.419897175880171858e+02 2.999702910375064757e+00 -3.115795511741614732e-01
138 -1.273818773836827773e+02 3.055489573459291286e+00 -3.112714270126841765e-01
139 -1.127740372171623591e+02 3.111276233892874554e+00 -3.209967258589709882e-01
140 -9.816619777189720253e+01 3.167062906653937748e+00 -3.007554455005965188e-01
141 -8.355835818819178940e+01 3.222849568982140589e+00 -3.005475882053976200e-01
142 -6.895051892815678229e+01 3.278636236360497946e+00 -2.903731524554398202e-01
143 -5.434267975125917616e+01 3.334422896976280803e+00 -2.902321393404871941e-01
144 -3.973484091432587917e+01 3.390209567672577862e+00 -2.701245487000034640e-01
145 -2.512700208435261118e+01 3.445996221707080309e+00 -2.800503776528131539e-01
146 -3.199119838665070770e+00 -6.925928844166385767e-01 -1.000083974603427350e-02
